案例ID,价值观,能力互补,承诺,沟通,利益,退出,成长,结果,TRL,PFI_V1,PFI_V2,结果标签
CASE-001,9,9,8,8,7,7,8,1,7,8.15,8.02,成功
CASE-002,2,7,4,3,2,5,3,0,6,3.8,3.65,失败
CASE-003,6,9,5,5,6,6,7,-1,6,6.35,6.28,进行中
CASE-004,8,9,9,8,8,7,8,1,7,8.25,8.18,成功
CASE-005,4,8,5,3,4,4,4,0,5,4.8,4.57,失败
CASE-006,9,9,9,8,8,8,8,1,8,8.55,8.43,成功
CASE-007,5,9,6,4,5,6,5,-1,5,5.9,5.68,进行中
CASE-008,9,9,8,8,8,7,8,1,7,8.3,8.17,成功
CASE-009,5,8,3,5,4,8,3,0,4,5.35,5.0,失败
CASE-010,8,9,9,9,8,8,8,1,8,8.5,8.44,成功
CASE-011,9,9,8,8,8,7,8,1,8,8.3,8.17,成功
CASE-012,5,7,4,4,3,3,3,0,4,4.5,4.15,失败
CASE-013,7,9,6,6,6,5,6,-1,7,6.7,6.45,进行中
CASE-014,9,9,9,8,8,7,8,1,8,8.45,8.32,成功
CASE-015,6,8,5,5,4,4,3,0,5,5.45,4.99,失败
